ids	gene	polysaccharide	type
An09g01190	abnA	pectin	pectin
An18g05940	galA	pectin	pectin
An01g12150	lacA	pectin	pectin
An01g10350	lacB	pectin	pectin
An06g00290	lacC	pectin	pectin
An14g05820	lacE	pectin	pectin
An14g04370	pelA	pectin	pectin
An03g00190	pelB	pectin	pectin
An11g04030	pelC	pectin	pectin
An19g00270	pelD	pectin	pectin
An15g07160	pelF	pectin	pectin
An16g06990	pgaA	pectin	pectin
An02g04900	pgaB	pectin	pectin
An05g02440	pgaC	pectin	pectin
An09g03260	pgaD	pectin	pectin
An01g14670	pgaE	pectin	pectin
An01g11520	pgaI	pectin	pectin
An15g05370	pgaII	pectin	pectin
An12g07500	pgaX	pectin	pectin
An11g04040	pgxA	pectin	pectin
An03g06740	pgxB	pectin	pectin
An02g12450	pgxC	pectin	pectin
An10g00870	plyA	pectin	pectin
An03g06310	pmeA	pectin	pectin
An09g02160	rgaeA	pectin	pectin
An14g01130	rglA	pectin	pectin
An01g14650	rgxA	pectin	pectin
An03g02080	rgxB	pectin	pectin
An18g04810	rgxC	pectin	pectin
An12g00950	rhgA	pectin	pectin
An14g04200	rhgB	pectin	pectin
An04g09700	xghA	pectin	pectin
An01g00330	abfA	pectin/xylan	pectin
An15g02300	abfB	pectin/xylan	pectin
An09g00120	faeA	pectin/xylan	pectin
An12g10390	faeB	pectin/xylan	pectin
An12g02550	faeC	pectin/xylan	pectin
An18g03570	bgl1	cellulose	nonPectin
An07g09330	cbhA	cellulose	nonPectin
An01g11660	cbhB	cellulose	nonPectin
An07g08950	eglB	cellulose	nonPectin
An14g02670	eglA	cellulose/Xyloglucan	nonPectin
An06g00170	aglA	Galactomannan	nonPectin
An02g11150	aglB	Galactomannan	nonPectin
An09g00260	aglC	Galactomannan	nonPectin
An05g01320	manA	Galactomannan	nonPectin
An11g06540	mndA	Galactomannan	nonPectin
An12g01850	mndB	Galactomannan	nonPectin
An11g03200	inuA/inuB	Inulin	nonPectin
An12g08280	inuE/inu1	Inulin	nonPectin
An08g11070	sucA/suc1	Inulin	nonPectin
An15g00320	sucB	Inulin	nonPectin
An06g02420	sucC	Inulin	nonPectin
An09g03100	amyA	starch	nonPectin
An12g02460	agtB	starch	nonPectin
An01g13610	amyD	starch	nonPectin
An04g06930	amyC	starch	nonPectin
An09g03110	amyE	starch	nonPectin
An11g03340	aamA	starch	nonPectin
An12g06930	amyH	starch	nonPectin
An15g07800	agtC	starch	nonPectin
An04g06920	agdA	starch	nonPectin
An03g06550	glaA	starch	nonPectin
An14g05800	aguA	xylan	nonPectin
An12g05010	axeA	xylan	nonPectin
An03g00960	axhA	xylan	nonPectin
An01g00780	xlnB/xynB	xylan	nonPectin
An03g00940	xlnC/xynA	xylan	nonPectin
An01g09960	xlnD/xynD	xylan	nonPectin
An01g01870	eglC	Xyloglucan	nonPectin
An01g03340	xegA	Xyloglucan	nonPectin
