ids	gene	polysaccharide	class	type
An09g01190	abnA	pectin	pectin	pectin
An18g05940	galA	pectin	pectin	pectin
An01g12150	lacA	pectin	pectin	pectin
An01g10350	lacB	pectin	pectin	pectin
An06g00290	lacC	pectin	pectin	pectin
An14g05820	lacE	pectin	pectin	pectin
An14g04370	pelA	pectin	pectin	pectin
An03g00190	pelB	pectin	pectin	pectin
An11g04030	pelC	pectin	pectin	pectin
An19g00270	pelD	pectin	pectin	pectin
An15g07160	pelF	pectin	pectin	pectin
An16g06990	pgaA	pectin	pectin	pectin
An02g04900	pgaB	pectin	pectin	pectin
An05g02440	pgaC	pectin	pectin	pectin
An09g03260	pgaD	pectin	pectin	pectin
An01g14670	pgaE	pectin	pectin	pectin
An01g11520	pgaI	pectin	pectin	pectin
An15g05370	pgaII	pectin	pectin	pectin
An12g07500	pgaX	pectin	pectin	pectin
An11g04040	pgxA	pectin	pectin	pectin
An03g06740	pgxB	pectin	pectin	pectin
An02g12450	pgxC	pectin	pectin	pectin
An10g00870	plyA	pectin	pectin	pectin
An03g06310	pmeA	pectin	pectin	pectin
An09g02160	rgaeA	pectin	pectin	pectin
An14g01130	rglA	pectin	pectin	pectin
An01g14650	rgxA	pectin	pectin	pectin
An03g02080	rgxB	pectin	pectin	pectin
An18g04810	rgxC	pectin	pectin	pectin
An12g00950	rhgA	pectin	pectin	pectin
An14g04200	rhgB	pectin	pectin	pectin
An04g09700	xghA	pectin	pectin	pectin
An01g00330	abfA	pectin/xylan	pectin	pectin
An15g02300	abfB	pectin/xylan	pectin	pectin
An09g00120	faeA	pectin/xylan	pectin	pectin
An12g10390	faeB	pectin/xylan	pectin	pectin
An12g02550	faeC	pectin/xylan	pectin	pectin
An02g01400	"	abnB"	previous_predict	predict_pectin	pectin
An02g02540	"	paeA"	previous_predict	predict_pectin	pectin
An02g10550	"	abnC"	previous_predict	predict_pectin	pectin
An02g12505	"	pmeC"	previous_predict	predict_pectin	pectin
An04g09360	"	rgaeB"	previous_predict	predict_pectin	pectin
An04g09690	"	pmeB"	previous_predict	predict_pectin	pectin
An06g02070	"	rhgC"	previous_predict	predict_pectin	pectin
An07g01000	"	rhgF"	previous_predict	predict_noExpression	pectin
An07g04420	"	lacD"	previous_predict	predict_noExpression	pectin
An07g08940	"	paeB"	previous_predict	predict_pectin	pectin
An08g01710	"	abfC"	previous_predict	predict_pectin	pectin
An08g10780	"	gbgA"	previous_predict	predict_pectin	pectin
An09g00880	"	abfD"	previous_predict	predict_pectin	pectin
An11g00390	"	rglB"	previous_predict	predict_pectin	pectin
An11g06320	"	rhgD"	previous_predict	predict_noExpression	pectin
An11g08700	"	rhgE"	previous_predict	predict_pectin	pectin
An14g02920	"	urhgA"	previous_predict	predict_pectin	pectin
An14g05340	"	urhgB"	previous_predict	predict_noExpression	pectin
An16g02730	"	abnD"	previous_predict	predict_pectin	pectin
An16g05690	"	faeC"	previous_predict	predict_noExpression	pectin
An16g06590	"	galB"	previous_predict	predict_pectin	pectin
An18g03570	bgl1	cellulose	nonPectin	nonPectin
An07g09330	cbhA	cellulose	nonPectin	nonPectin
An01g11660	cbhB	cellulose	nonPectin	nonPectin
An07g08950	eglB	cellulose	nonPectin	nonPectin
An14g02670	eglA	cellulose/Xyloglucan	nonPectin	nonPectin
An06g00170	aglA	Galactomannan	nonPectin	nonPectin
An02g11150	aglB	Galactomannan	nonPectin	nonPectin
An09g00260	aglC	Galactomannan	nonPectin	nonPectin
An05g01320	manA	Galactomannan	nonPectin	nonPectin
An11g06540	mndA	Galactomannan	nonPectin	nonPectin
An12g01850	mndB	Galactomannan	nonPectin	nonPectin
An11g03200	inuA/inuB	Inulin	nonPectin	nonPectin
An12g08280	inuE/inu1	Inulin	nonPectin	nonPectin
An08g11070	sucA/suc1	Inulin	nonPectin	nonPectin
An15g00320	sucB	Inulin	nonPectin	nonPectin
An06g02420	sucC	Inulin	nonPectin	nonPectin
An09g03100	amyA	starch	nonPectin	nonPectin
An12g02460	agtB	starch	nonPectin	nonPectin
An01g13610	amyD	starch	nonPectin	nonPectin
An04g06930	amyC	starch	nonPectin	nonPectin
An09g03110	amyE	starch	nonPectin	nonPectin
An11g03340	aamA	starch	nonPectin	nonPectin
An12g06930	amyH	starch	nonPectin	nonPectin
An15g07800	agtC	starch	nonPectin	nonPectin
An04g06920	agdA	starch	nonPectin	nonPectin
An03g06550	glaA	starch	nonPectin	nonPectin
An14g05800	aguA	xylan	nonPectin	nonPectin
An12g05010	axeA	xylan	nonPectin	nonPectin
An03g00960	axhA	xylan	nonPectin	nonPectin
An01g00780	xlnB/xynB	xylan	nonPectin	nonPectin
An03g00940	xlnC/xynA	xylan	nonPectin	nonPectin
An01g09960	xlnD/xynD	xylan	nonPectin	nonPectin
An01g01870	eglC	Xyloglucan	nonPectin	nonPectin
An01g03340	xegA	Xyloglucan	nonPectin	nonPectin
An08g08370	GH92	non	nonPectin	nonPectin
An13g01260	GH92	non	nonPectin	nonPectin
An16g02910	GH92	non	nonPectin	nonPectin
An08g03060	GH92	non	nonPectin	nonPectin
An04g09650	GH76	non	nonPectin	nonPectin
An11g01240	GH76	non	nonPectin	nonPectin
An12g05930	GH76	non	nonPectin	nonPectin
An18g01410	GH76	non	nonPectin	nonPectin
An01g06500	GH76	non	nonPectin	nonPectin
An14g03520	GH76	non	nonPectin	nonPectin
An03g00740	GH76	non	nonPectin	nonPectin
An06g00360	GH76	non	nonPectin	nonPectin
An02g02660	GH76	non	nonPectin	nonPectin
An07g07700	GH76	non	nonPectin	nonPectin
An16g08090	GH76	non	nonPectin	nonPectin
An09g00670	GH72	non	nonPectin	nonPectin
An02g03070	GH72	non	nonPectin	nonPectin
An16g06120	GH72	non	nonPectin	nonPectin
An02g09050	GH72	non	nonPectin	nonPectin
An10g00400	GH72	non	nonPectin	nonPectin
An08g07350	GH72	non	nonPectin	nonPectin
An12g01800	GH71	non	nonPectin	nonPectin
An06g00810	GH71	non	nonPectin	nonPectin
An15g04760	GH71	non	nonPectin	nonPectin
An08g09610	GH71	non	nonPectin	nonPectin
An06g00510	GH71	non	nonPectin	nonPectin
An07g08640	GH71	non	nonPectin	nonPectin
An09g06260	GH71	non	nonPectin	nonPectin
An06g01510	GH47	non	nonPectin	nonPectin
An01g12550	GH47	non	nonPectin	nonPectin
An04g06990	GH47	non	nonPectin	nonPectin
An12g00340	GH47	non	nonPectin	nonPectin
An01g01320	GH27	non	nonPectin	nonPectin
An14g01800	GH27	non	nonPectin	nonPectin
An11g06330	GH27	non	nonPectin	nonPectin
An03g02960	GH20	non	nonPectin	nonPectin
An01g01920	GH20	non	nonPectin	nonPectin
An09g02240	GH20	non	nonPectin	nonPectin
