gene.number	Podan2	Neucr2	Spoth2	PenchWisc1_1	Aniger	Penox1	Talst1_2	Trire2	Aoryz	Anidul	ratio
An15g07530	1	1	1	1	1	1	1	1	1	1	1
An08g09500	1	1	1	1	1	1	1	1	1	1	1
An03g03030	1	1	1	1	1	1	1	1	1	1	1
An09g00640	1	0	1	1	1	1	1	1	1	1	0.9
An11g06080	1	1	1	1	1	1	1	1	1	1	1
An11g00200	1	1	1	1	1	1	1	1	1	1	1
An18g03570	1	1	1	1	1	1	1	1	1	1	1
An15g04800	1	1	1	1	1	1	1	1	1	1	1
An07g07630	1	1	1	1	1	1	1	1	1	1	1
An14g01770	1	1	1	1	1	1	1	1	1	1	1
An11g06090	1	1	1	1	1	1	1	1	1	1	1
An05g02470	1	1	1	1	1	1	1	1	1	1	1
An16g01420	1	1	1	1	1	1	1	1	1	1	1
An12g04190	1	1	1	1	1	1	1	1	1	1	1
An14g03290	1	1	1	1	1	1	1	1	1	1	1
An05g02380	1	0	0	1	1	1	1	0	1	1	0.7
An18g01120	1	0	0	1	1	1	1	0	1	1	0.7
An15g03100	1	0	0	1	1	1	1	0	1	1	0.7
An02g11560	1	0	0	1	1	1	1	0	1	1	0.7
An11g05970	1	1	1	1	1	0	1	1	1	1	0.9
An11g04180	1	1	1	1	1	1	1	1	1	1	1
An04g06920	1	1	1	1	1	1	1	1	1	1	1
An01g10930	1	1	1	1	1	1	1	1	1	1	1
An15g05130	1	1	1	1	1	1	1	1	1	1	1
An15g07570	1	1	1	1	1	1	1	1	1	1	1
An03g06540	1	1	1	1	1	1	1	1	1	1	1
An08g09550	1	1	1	1	1	1	1	1	1	1	1
An12g01320	1	1	1	1	1	1	1	1	1	1	1
An13g01260	1	1	1	1	1	1	1	1	1	1	1
An08g08370	1	1	1	1	1	1	1	1	1	1	1
An08g03060	1	1	1	1	1	1	1	1	1	1	1
An03g03750	0	0	1	1	1	1	1	1	1	1	0.8
An01g13660	0	0	1	1	1	1	1	1	1	1	0.8
An01g14010	0	0	1	1	1	1	1	1	1	1	0.8
An05g02540	0	0	1	1	1	1	1	1	1	1	0.8
An04g10400	0	0	1	1	1	1	1	1	1	1	0.8
An09g00670	1	1	1	1	1	1	1	1	1	1	1
An16g06120	1	1	1	1	1	1	1	1	1	1	1
An02g03070	1	1	1	1	1	1	1	1	1	1	1
An12g06930	1	1	1	1	1	1	1	1	1	1	1
An04g06930	1	1	1	1	1	1	1	1	1	1	1
An11g03340	1	1	1	1	1	1	1	1	1	1	1
An05g02100	1	1	1	1	1	1	1	1	1	1	1
An15g01940	1	1	1	1	1	1	1	1	1	1	1
An11g03740	1	1	1	1	1	1	1	1	1	1	1
An03g06270	1	1	1	1	1	1	1	1	1	1	1
An19g00270	0	0	1	1	1	1	0	0	1	1	0.6
An03g00190	0	0	1	1	1	1	0	0	1	1	0.6
An14g04370	0	0	1	1	1	1	0	0	1	1	0.6
An06g00720	1	1	1	1	1	1	1	1	1	1	1
An05g02450	0	0	1	0	1	1	1	1	1	1	0.7
An02g10940	1	0	0	0	1	1	0	1	1	1	0.6
An11g03580	1	1	0	1	1	0	1	0	1	1	0.7
An08g08450	1	1	0	1	1	0	1	0	1	1	0.7
An05g02340	1	1	0	1	1	0	1	0	1	1	0.7
An01g12450	1	1	1	1	1	1	1	1	1	1	1
An09g03100	1	1	1	1	1	1	1	0	1	1	0.9
An12g02460	1	1	1	1	1	1	1	0	1	1	0.9
An15g03990	0	0	0	1	1	1	1	1	1	1	0.7
An11g03430	0	0	0	1	1	1	1	1	1	1	0.7
An01g11880	0	0	0	1	1	1	1	1	1	1	0.7
An14g05820	1	1	1	1	1	1	1	1	1	1	1
An06g00290	1	1	1	1	1	1	1	1	1	1	1
An07g04420	1	1	1	1	1	1	1	1	1	1	1
An01g10350	1	1	1	1	1	1	1	1	1	1	1
An01g12150	1	1	1	1	1	1	1	1	1	1	1
An01g09960	1	1	1	1	1	1	1	1	1	1	1
An04g03590	1	1	1	1	1	1	1	1	1	1	1
An09g01240	1	1	1	1	1	1	1	1	1	1	1
An05g01010	1	1	1	1	1	1	1	1	1	1	1
An02g13220	1	1	1	1	1	1	1	1	1	1	1
An07g08640	0	1	1	1	1	1	1	1	1	1	0.9
An08g07120	1	1	1	1	1	1	0	1	1	1	0.9
An14g01550	1	1	1	1	1	1	1	1	1	1	1
An18g04140	1	1	1	1	1	1	1	1	1	1	1
An11g02230	1	1	1	1	1	1	1	1	1	1	1
An07g00440	0	0	0	1	1	1	1	1	1	1	0.7
An09g03070	1	1	1	1	1	1	1	0	1	1	0.9
An12g02450	1	1	1	1	1	1	1	0	1	1	0.9
An04g09890	1	1	1	1	1	1	1	0	1	1	0.9
An15g07810	1	1	1	1	1	1	1	0	1	1	0.9
An02g03260	1	1	1	1	1	1	1	0	1	1	0.9
An02g11260	0	0	0	1	1	0	1	0	1	1	0.5
An02g02660	0	0	0	0	1	0	0	0	1	1	0.3
An18g01780	1	1	1	1	1	1	1	1	1	1	1
An18g03800	1	1	1	1	1	1	1	1	1	1	1
An14g04240	0	0	0	0	1	1	1	1	1	1	0.6
An16g02910	0	0	0	0	1	1	1	1	1	1	0.6
An04g07200	1	1	1	1	1	1	1	1	1	1	1
An03g06550	1	1	1	1	1	1	1	1	1	1	1
An16g08370	1	1	1	1	1	1	1	1	1	1	1
An14g02470	1	1	1	1	1	1	1	1	1	1	1
An16g02250	1	1	1	1	1	1	1	1	1	1	1
An15g00330	1	1	1	1	1	1	1	1	1	1	1
An01g06310	1	1	1	1	1	1	1	1	1	1	1
An07g09330	1	1	1	1	1	1	1	1	1	1	1
An01g11660	1	1	1	1	1	1	1	1	1	1	1
An03g06740	0	1	1	1	1	1	1	1	1	1	0.9
An11g08440	1	1	0	1	1	1	1	1	1	1	0.9
An08g07840	1	1	1	1	1	1	1	1	1	1	1
An14g06730	1	1	1	1	1	1	1	1	1	1	1
An03g02490	1	1	1	1	1	1	1	1	1	1	1
An02g13250	0	0	0	1	1	1	1	1	1	1	0.7
An04g05530	1	1	1	1	1	1	1	1	1	1	1
An16g00540	0	0	1	1	1	1	1	1	1	1	0.8
An11g05580	1	0	0	1	1	1	0	1	1	1	0.7
An07g00450	1	0	0	1	1	1	0	1	1	1	0.7
An03g01660	1	1	1	1	1	1	0	1	1	1	0.9
An12g06860	1	0	1	1	1	1	1	0	1	1	0.8
An03g02250	0	1	0	0	1	0	1	0	1	1	0.5
An15g00840	1	0	0	0	1	0	1	0	1	1	0.5
An01g09220	1	1	1	1	1	1	1	0	1	1	0.9
An03g00280	1	1	1	1	1	1	1	0	1	1	0.9
An12g05100	0	1	0	1	1	1	1	0	1	1	0.7
An02g00460	0	0	0	1	1	0	1	0	1	1	0.5
An09g01320	0	0	1	0	1	0	1	0	1	1	0.5
An13g01350	1	0	0	0	1	0	1	0	1	1	0.5
An01g14800	1	0	0	1	1	1	0	0	1	1	0.6
An13g03810	1	0	0	1	1	1	0	0	1	1	0.6
An10g00950	1	0	0	1	1	1	0	0	1	1	0.6
An01g02740	1	0	0	1	1	1	0	0	1	1	0.6
An02g00350	1	0	0	1	1	1	0	0	1	1	0.6
An09g00890	1	0	0	1	1	1	0	0	1	1	0.6
An08g09800	1	0	0	1	1	1	0	0	1	1	0.6
An03g05300	1	0	0	1	1	1	0	0	1	1	0.6
An04g04430	1	0	0	1	1	1	0	0	1	1	0.6
An17g00830	1	0	0	1	1	1	0	0	1	1	0.6
An11g03590	1	0	0	1	1	1	0	0	1	1	0.6
An10g00870	1	1	1	1	1	1	0	0	1	1	0.8
An04g06990	1	1	1	1	1	1	1	1	1	1	1
An08g09030	1	1	1	1	1	1	1	1	1	1	1
An02g07020	1	1	1	1	1	1	1	1	1	1	1
An01g00780	1	1	1	1	1	1	1	1	1	1	1
An05g02320	0	0	0	0	1	1	1	1	1	1	0.6
An03g01090	0	0	0	0	1	1	1	1	1	1	0.6
An02g13580	1	1	1	1	1	1	1	1	1	1	1
An02g10680	0	0	0	1	1	1	1	1	1	1	0.7
An02g13740	1	1	1	1	1	1	1	1	1	1	1
An05g01620	1	0	0	0	1	1	0	1	1	1	0.6
